Team 1,Team 2,Pitch,Runs Left,Balls Left,Wickets Remaining,Total Runs Scored,Current Run Rate,Required Run Rate,Winner
England,West Indies,3,187,110,9,190,2.4,10.2,0
England,India,3,59,21,4,209,9.151515152,16.85714286,0
Sri Lanka,Pakistan,3,130,51,7,232,8.956521739,15.29411765,0
Sri Lanka,Pakistan,3,94,49,7,190,8.197183099,11.51020408,1
West Indies,England,3,186,119,10,185,0,9.378151261,1
West Indies,Sri Lanka,1,105,84,8,149,7.5,7.5,1
Sri Lanka,West Indies,3,184,110,10,200,10.2,10.03636364,1
West Indies,New Zealand,2,131,83,9,168,6.162162162,9.469879518,0
Australia,New Zealand,3,105,71,9,177,8.93877551,8.873239437,0
Pakistan,New Zealand,3,32,30,7,203,11.46666667,6.4,1
Sri Lanka,New Zealand,3,84,34,6,177,6.558139535,14.82352941,0
West Indies,India,2,98,68,9,168,8.192307692,8.647058824,1
Australia,New Zealand,1,87,77,8,126,5.581395349,6.779220779,1
Sri Lanka,Pakistan,3,121,45,7,232,8.96,16.13333333,0
Afghanistan,Australia,2,87,21,1,169,5.03030303,24.85714286,0
West Indies,India,3,167,96,8,182,4,10.4375,0
New Zealand,Pakistan,1,145,119,10,144,0,7.31092437,1
Sri Lanka,England,3,102,51,7,213,9.739130435,12,0
Afghanistan,England,2,63,47,6,157,7.808219178,8.042553191,0
Afghanistan,Australia,3,145,68,7,222,9,12.79411765,0
Afghanistan,India,2,101,83,10,161,9.891891892,7.301204819,1
Sri Lanka,Australia,1,117,118,10,116,0,5.949152542,0
England,West Indies,1,9,5,5,139,6.834782609,10.8,1
England,Afghanistan,1,123,107,9,138,7.384615385,6.897196262,1
West Indies,New Zealand,1,122,103,8,144,8.117647059,7.106796117,0
India,Sri Lanka,3,163,99,8,182,5.714285714,9.878787879,0
Sri Lanka,England,1,112,105,10,124,5.2,6.4,1
England,Australia,3,98,34,1,179,5.720930233,17.29411765,0
Sri Lanka,India,2,77,40,6,159,6.225,11.55,0
India,Australia,3,105,65,10,176,7.854545455,9.692307692,1
Afghanistan,Australia,2,116,90,10,169,10.8,7.733333333,1
Australia,Pakistan,3,70,44,10,192,9.710526316,9.545454545,1
England,New Zealand,3,76,15,1,195,6.857142857,30.4,0
West Indies,India,1,63,63,10,133,7.473684211,6,1
Sri Lanka,Australia,3,-8,16,6,172,10.44230769,-3,1
Australia,India,2,82,59,8,157,7.475409836,8.338983051,1
Sri Lanka,New Zealand,2,29,4,4,161,6.879310345,43.5,0
Afghanistan,England,2,51,51,8,154,9.043478261,6,1
India,Pakistan,1,79,61,7,145,6.813559322,7.770491803,0
Afghanistan,Sri Lanka,2,110,66,9,170,6.777777778,10,0
Australia,Afghanistan,1,105,107,10,114,4.615384615,5.887850467,1
West Indies,Pakistan,1,142,116,10,142,1.5,7.344827586,1
Pakistan,New Zealand,2,48,38,7,159,8.195121951,7.578947368,0
Sri Lanka,England,1,34,20,7,145,6.72,10.2,0
England,Afghanistan,1,125,105,9,134,4,7.142857143,1
Australia,Afghanistan,3,83,45,8,171,7.12,11.06666667,0
Pakistan,Afghanistan,1,15,44,6,80,5.210526316,2.045454545,1
India,Sri Lanka,2,26,31,8,156,8.831460674,5.032258065,1
New Zealand,Sri Lanka,1,26,26,6,124,6.319148936,6,1
India,Australia,3,28,12,4,208,10.05555556,14,0
Pakistan,Afghanistan,2,49,11,2,164,6.385321101,26.72727273,0
Pakistan,Australia,3,162,95,9,193,7.68,10.23157895,0
England,Pakistan,3,65,30,6,194,8.666666667,13,0
Australia,England,2,44,30,8,154,7.4,8.8,1
Afghanistan,England,3,112,55,7,215,9.6,12.21818182,0
